bh_id,b_id,r_id,c_id
1,b000001,r01101,c000606
2,b000001,r01101,c000077
3,b000002,GGC077,c000572
4,b000002,GGC077,c000931
5,b000002,BBR0137,c000313
6,b000002,BBR0137,c000835
7,b000002,GGC062,c000573
8,b000002,GGC062,c000978
9,b000003,r01205,c000980
10,b000003,r01205,c000961
11,b000003,r01205,c000751
12,b000003,r01205,c000760
13,b000003,r01205,c000299
14,b000003,r01205,c000714
15,b000003,r03304,c000669
16,b000003,r03304,c000042
17,b000003,r03304,c000871
18,b000003,r03304,c000694
19,b000003,r02004,c000806
20,b000003,r02004,c000810
21,b000003,r02004,c000870
22,b000004,BBR0147,c000766
23,b000004,BBR0147,c000554
24,b000005,BBR049,c000882
25,b000005,BBR049,c000910
26,b000005,BBR049,c000795
27,b000005,BBR049,c000563
28,b000005,r04700,c000017
29,b000005,r04700,c000179
30,b000005,r04700,c000098
31,b000005,r04700,c000417
32,b000006,GGC0108,c000524
33,b000006,GGC0108,c000146
34,b000006,GGC0108,c000972
35,b000006,GGC0108,c000964
36,b000007,BBR066,c000703
37,b000007,BBR066,c000075
38,b000007,BBR066,c000023
39,b000007,BBR066,c000983
40,b000007,r02005,c000860
41,b000007,r02005,c000914
42,b000007,r02005,c000936
43,b000007,r02005,c000471
44,b000007,r02005,c000579
45,b000007,GGC053,c000615
46,b000007,GGC053,c000637
47,b000007,BBR071,c000903
48,b000008,r02501,c000085
49,b000009,BBR013,c000665
50,b000009,BBR013,c000815
51,b000009,BBR013,c000849
52,b000010,GGC012,c000210
53,b000010,r05201,c000731
54,b000010,r05201,c000045
55,b000010,r05201,c000718
56,b000010,r05201,c000189
57,b000011,r04402,c000997
58,b000012,BBR052,c000530
59,b000012,BBR052,c000985
60,b000012,r04502,c000587
61,b000013,r04002,c000137
62,b000013,GGC061,c000631
63,b000013,GGC061,c000450
64,b000014,BBR098,c000715
65,b000014,GGC046,c000940
66,b000014,GGC046,c000263
67,b000014,GGC046,c000910
68,b000014,GGC046,c000398
69,b000014,BBR012,c000665
70,b000015,BBR0101,c000610
71,b000015,r06200,c000366
72,b000015,r06200,c000044
73,b000015,r06200,c000834
74,b000015,r06200,c000887
75,b000016,GGC023,c000780
76,b000016,B0BR06,c000183
77,b000016,r03405,c000690
78,b000016,r03405,c000801
79,b000016,r03405,c000901
80,b000016,r03405,c000678
81,b000016,r03405,c000166
82,b000016,r03405,c000153
83,b000016,r02205,c000411
84,b000016,r02205,c000143
85,b000016,r02205,c000116
86,b000016,r02205,c000010
87,b000017,GGC015,c000711
88,b000017,GGC015,c000116
89,b000017,GGC015,c000900
90,b000017,r02105,c000950
91,b000017,r02105,c000916
92,b000017,r02105,c000614
93,b000017,r02105,c000481
94,b000018,GGC083,c000629
95,b000018,GGC083,c000060
96,b000018,GGC083,c000945
97,b000018,GGC083,c000517
98,b000018,BBR0156,c000399
99,b000018,BBR0156,c000626
100,b000018,BBR0156,c000420
101,b000018,BBR0156,c000904
102,b000019,r00804,c000760
103,b000020,r01705,c000542
104,b000020,r01705,c000540
105,b000020,r01705,c000786
106,b000020,r01705,c000764
